party,district,date,blankVotes,blankVotesPercentage,nullVotes,nullVotesPercentage,percentage,percentageVoters,validVotesPercentage,votes
L/TDA,Vila Real,2015-10-04,1919,319.36999999999995,1960,365.71000000000004,56.599999999999994,9000.089999999998,58.70999999999999,383
L/TDA,Viseu,2015-10-04,4235,559.3800000000003,3632,545.4499999999999,94.08999999999997,14021.59,98.28000000000003,1003
L/TDA,Évora,2015-10-04,1421,93.58000000000001,1079,88.09999999999998,19.62,4257.6900000000005,20.16,356
MAS,Açores,2019-10-06,3926,831.7299999999993,1363,248.05,21.159999999999997,6204.549999999998,22.639999999999993,112
MAS,Braga,2019-10-06,14504,1053.83,8029,645.0499999999993,36.50000000000002,20522.750000000004,38.349999999999994,544
MAS,Coimbra,2019-10-06,6889,531.2600000000002,3814,347.09999999999985,18.12,8356.199999999999,19.190000000000005,251
MAS,Leiria,2019-10-06,8202,390.6500000000001,5152,266.55000000000007,7.310000000000002,6036.829999999998,7.790000000000001,167
MAS,Lisboa,2019-10-06,23702,327.96,16081,226.88000000000002,16.37,7702.05,17.129999999999992,1236
MAS,Porto,2019-10-06,21233,537.0000000000005,15185,439.6499999999998,15.130000000000003,14050.8,15.740000000000004,522
MAS,Setúbal,2019-10-06,8191,114.34999999999997,6038,82.91999999999999,5.9,3000.2299999999996,6.139999999999999,326
MPT,Aveiro,2015-10-04,9163,353.6900000000002,6130,252.76000000000002,47.250000000000014,8243.029999999997,49.309999999999974,1325
MPT,Aveiro,2019-10-06,10642,447.3999999999999,6375,272.96,27.300000000000015,8015.390000000001,28.720000000000006,707
MPT,Açores,2015-10-04,3047,556.7399999999999,1583,284.5699999999999,50.14,7021.759999999997,52.79000000000001,299
MPT,Açores,2019-10-06,3926,831.7299999999993,1363,248.04999999999998,61.43,6204.549999999999,65.92999999999996,326
MPT,Beja,2015-10-04,1230,110.82000000000002,1132,120.95000000000003,22.999999999999996,4397.6399999999985,23.87,248
MPT,Beja,2019-10-06,1371,140.85999999999999,1094,129.99,22.679999999999996,3994.11,23.600000000000005,169
MPT,Braga,2015-10-04,10708,754.4299999999996,6112,458.45000000000005,128.48000000000002,20443.15,133.04999999999998,1604
MPT,Braga,2019-10-06,14504,1053.83,8029,645.0499999999995,77.82999999999994,20522.750000000004,81.68000000000008,1000
MPT,Bragança,2015-10-04,1189,371.77000000000004,1408,473.17000000000013,80.17999999999998,10585.050000000003,83.47000000000003,223
MPT,Castelo Branco,2015-10-04,2091,227.7899999999999,2167,283.78,59.83999999999999,6792.179999999996,62.7,474
MPT,Castelo Branco,2019-10-06,2250,279.49000000000007,2232,324.70999999999987,25.21,6581.849999999999,26.570000000000004,226
MPT,Coimbra,2015-10-04,5929,392.8599999999999,3536,293.08000000000004,54.38,8770.320000000002,56.92999999999999,854
MPT,Coimbra,2019-10-06,6889,531.2600000000002,3814,347.0999999999998,28.650000000000006,8356.199999999999,30.319999999999997,417
MPT,Faro,2015-10-04,4286,153.04000000000005,3079,124.43,43.98999999999998,3619.5499999999997,45.88000000000001,1222
MPT,Faro,2019-10-06,4900,200.8,3069,136.77,24.729999999999997,3274.2000000000003,26.05000000000001,740
MPT,Guarda,2015-10-04,1689,505.5499999999998,1987,596.7099999999995,104.29999999999998,12321.069999999996,109.57999999999998,298
MPT,Guarda,2019-10-06,2026,625.8999999999994,2057,675.4999999999997,46.25,11918.08,48.70999999999998,122
MPT,Leiria,2015-10-04,6902,311.5900000000001,4699,228.64999999999998,52.39999999999998,6298.630000000001,55.17000000000002,1189
MPT,Leiria,2019-10-06,8202,390.6500000000001,5152,266.55000000000007,30.050000000000004,6036.829999999998,32.02,667
MPT,Lisboa,2015-10-04,22176,285.3299999999999,17112,212.62000000000015,63.08999999999999,8132.059999999998,65.58,5078
MPT,Lisboa,2019-10-06,23702,327.96000000000004,16081,226.88,35.029999999999994,7702.05,36.54,2783
MPT,Madeira,2015-10-04,1018,47.94000000000001,3597,156.12000000000003,69.88,2623.62,72.67999999999999,1705
MPT,Madeira,2019-10-06,697,31.670000000000012,2292,96.04,17.79,2742.3799999999997,18.270000000000003,465
MPT,Portalegre,2015-10-04,1130,118.61000000000004,896,104.43000000000002,17.349999999999998,4266.539999999999,17.930000000000003,154
MPT,Portalegre,2019-10-06,1200,140.93,999,142.62000000000006,12.070000000000002,3953.210000000001,12.579999999999998,93
MPT,Porto,2015-10-04,18902,422.3200000000001,14073,372.60999999999996,88.59,14410.610000000006,91.45999999999997,3449
MPT,Porto,2019-10-06,21233,537.0000000000005,15185,439.6499999999998,41.72000000000001,14050.8,43.42999999999997,1721
MPT,Santarém,2015-10-04,5142,303.81,3967,263.78000000000003,63.75999999999998,8382.39,66.51999999999997,1038
MPT,Santarém,2019-10-06,6022,401.42000000000013,4011,286.9199999999999,34.03000000000001,7980.309999999998,35.87999999999999,471
MPT,Setúbal,2015-10-04,7261,91.48999999999998,6183,76.11000000000003,19.919999999999998,3261.0899999999992,20.56,1584
MPT,Setúbal,2019-10-06,8191,114.34999999999997,6038,82.91999999999999,14.600000000000009,3000.23,15.170000000000003,1106
MPT,Viana do Castelo,2015-10-04,3228,491.69999999999993,2141,350.8700000000002,63.28,10140.639999999996,65.95000000000002,445
MPT,Viana do Castelo,2019-10-06,3617,588.8000000000001,2199,371.4499999999997,33.480000000000004,10214.650000000003,35.220000000000006,209
MPT,Vila Real,2015-10-04,1919,319.36999999999995,1960,365.71000000000004,59.679999999999986,9000.089999999998,61.810000000000045,306
MPT,Viseu,2015-10-04,4235,559.3800000000003,3632,545.4499999999999,102.30999999999997,14021.59,106.57000000000002,679
MPT,Viseu,2019-10-06,4995,693.7199999999997,3700,611.5299999999996,35.75000000000001,14117.129999999994,37.66,256
MPT,Évora,2015-10-04,1421,93.58000000000001,1079,88.09999999999998,18.009999999999998,4257.6900000000005,18.48,242
MPT,Évora,2019-10-06,1680,139.88000000000002,1047,100.47000000000003,10.639999999999997,3860.2999999999997,10.990000000000002,143
NC,Aveiro,2015-10-04,9163,353.6900000000002,6130,252.76000000000002,39.47999999999999,8243.029999999997,41.179999999999986,1006
NC,Aveiro,2019-10-06,10642,447.39999999999986,6375,272.96,23.750000000000004,8015.390000000002,24.939999999999998,623
NC,Açores,2015-10-04,3047,556.7399999999999,1583,284.56999999999994,116.24999999999999,7021.759999999997,122.71000000000002,766
NC,Beja,2015-10-04,1230,110.82000000000004,1132,120.95000000000003,15.65,4397.6399999999985,16.229999999999997,160
